src_ip,dst_ip,rtt
192.168.182.221,103.43.90.19,0.000106
192.168.182.221,103.43.90.19,0.000058
192.168.182.221,103.43.90.19,10.032251
192.168.182.221,103.43.90.19,0.000776
192.168.182.221,104.18.36.155,0.198904
192.168.182.221,104.18.36.155,0.000947
192.168.182.221,104.18.36.155,0.323906
192.168.182.221,104.18.36.155,0.012896
192.168.182.221,104.18.36.155,0.001062
192.168.182.221,104.18.36.155,0.000799
192.168.182.221,104.18.36.155,0.300285
192.168.182.221,104.18.36.155,0.209676
192.168.182.221,104.18.36.155,0.156482
192.168.182.221,104.18.36.155,0.000292
192.168.182.221,104.18.36.155,0.000967
192.168.182.221,104.18.36.155,0.306896
192.168.182.221,104.18.36.155,0.282423
192.168.182.221,104.18.36.155,0.238524
192.168.182.221,104.18.36.155,0.021884
192.168.182.221,104.18.36.155,0.004234
192.168.182.221,104.18.36.155,0.000268
192.168.182.221,104.18.36.155,0.165612
192.168.182.221,104.18.36.155,0.000530
192.168.182.221,104.18.36.155,0.272560
192.168.182.221,104.18.36.155,0.005881
192.168.182.221,104.18.36.155,0.000130
192.168.182.221,104.18.36.155,0.563335
192.168.182.221,104.18.36.155,44.361718
192.168.182.221,104.22.27.181,0.212539
192.168.182.221,106.75.109.179,0.254055
192.168.182.221,106.75.109.179,0.068540
192.168.182.221,106.75.109.179,0.000910
192.168.182.221,106.75.109.179,0.268611
192.168.182.221,106.75.109.179,0.000751
192.168.182.221,106.75.109.179,0.223484
192.168.182.221,106.75.109.179,0.000145
192.168.182.221,106.75.109.179,0.206862
192.168.182.221,106.75.109.179,0.447513
192.168.182.221,106.75.109.179,9.500869
192.168.182.221,106.75.109.179,0.001137
192.168.182.221,106.75.109.179,0.725335
192.168.182.221,106.75.109.179,0.585973
192.168.182.221,106.75.109.179,8.713192
192.168.182.221,106.75.109.179,0.327891
192.168.182.221,106.75.109.179,0.034512
192.168.182.221,106.75.109.179,8.973563
192.168.182.221,106.75.109.179,1.063483
192.168.182.221,106.75.109.179,2.000036
192.168.182.221,130.211.33.34,0.261735
192.168.182.221,130.211.33.34,0.567409
192.168.182.221,130.211.33.34,0.000043
192.168.182.221,130.211.33.34,0.001204
192.168.182.221,130.211.33.34,0.000089
192.168.182.221,130.211.33.34,0.037789
192.168.182.221,130.211.33.34,0.164566
192.168.182.221,130.211.33.34,0.008778
192.168.182.221,130.211.33.34,0.008563
192.168.182.221,130.211.33.34,0.001264
192.168.182.221,130.211.33.34,0.000185
192.168.182.221,130.211.33.34,0.000199
192.168.182.221,130.211.33.34,0.008384
192.168.182.221,130.211.33.34,0.012004
192.168.182.221,130.211.33.34,0.000394
192.168.182.221,130.211.33.34,0.258461
192.168.182.221,130.211.33.34,0.001130
